DataboxPlot_Note	'Note'
self.combo_binary	0
self.combo_autoscript	1
self.button_enabled	True
self.button_multi	True
self.button_link_x	True
self.button_script	False
self.number_file	0
self.script	"x = ( d[0] )\ny = ( d[1], d[2] )\n\nxlabels = 'Time (s)'\nylabels = ( 'Temperature (C)', 'Power (%)' )\n"
self.number_history	0
self.text_log_note	'Note'

Time (s)	Temperature (C)	Power (%)
54.217	37.9844	51.20081921310741
54.319	38.0625	51.20081921310741
54.419	38.0781	51.20081921310741
54.52	38.1172	51.20081921310741
54.622	38.125	51.20081921310741
54.723	38.1953	51.20081921310741
54.823	38.1484	51.20081921310741
54.925	38.1719	51.20081921310741
55.026	38.2188	51.20081921310741
55.128	38.1875	51.20081921310741
55.229	38.2422	51.20081921310741
55.329	38.2109	51.20081921310741
55.431	38.3047	51.20081921310741
55.532	38.2969	51.20081921310741
55.633	38.3359	51.20081921310741
55.735	38.3359	51.20081921310741
55.835	38.4219	51.20081921310741
55.937	38.4375	51.20081921310741
56.038	38.4063	51.20081921310741
56.139	38.4219	51.20081921310741
56.241	38.4375	51.20081921310741
56.341	38.5078	51.20081921310741
56.442	38.4844	51.20081921310741
56.544	38.5156	51.20081921310741
56.645	38.5156	51.20081921310741
56.747	38.5859	51.20081921310741
56.847	38.5859	51.20081921310741
56.948	38.6172	51.20081921310741
57.05	38.6172	51.20081921310741
57.151	38.7109	51.20081921310741
57.252	38.7578	51.20081921310741
57.353	38.7422	51.20081921310741
57.454	38.7109	51.20081921310741
57.556	38.8047	51.20081921310741
57.657	38.8203	51.20081921310741
57.757	38.8047	51.20081921310741
57.859	38.7813	51.20081921310741
57.96	38.8516	51.20081921310741
58.061	38.8516	51.20081921310741
58.163	38.9609	51.20081921310741
58.263	38.9609	51.20081921310741
58.364	38.9219	51.20081921310741
58.466	39.0	51.20081921310741
58.567	39.0547	51.20081921310741
58.669	39.0313	51.20081921310741
58.769	38.9766	51.20081921310741
58.87	39.0469	51.20081921310741
58.972	39.1172	51.20081921310741
59.073	39.1484	51.20081921310741
59.174	39.1641	51.20081921310741
59.275	39.2422	51.20081921310741
59.376	39.1719	51.20081921310741
59.478	39.1641	51.20081921310741
59.579	39.2188	51.20081921310741
59.68	39.2656	51.20081921310741
59.781	39.2969	51.20081921310741
59.882	39.3438	51.20081921310741
59.983	39.375	51.20081921310741
60.085	39.3516	51.20081921310741
60.186	39.3984	51.20081921310741
60.287	39.3984	51.20081921310741
60.388	39.4844	51.20081921310741
60.489	39.4844	51.20081921310741
60.591	39.4766	51.20081921310741
60.692	39.5547	51.20081921310741
60.792	39.5469	51.20081921310741
60.894	39.5938	51.20081921310741
60.995	39.5781	51.20081921310741
61.097	39.6016	51.20081921310741
61.198	39.5938	51.20081921310741
61.298	39.6875	51.20081921310741
61.4	39.6797	51.20081921310741
61.501	39.7266	51.20081921310741
61.602	39.7031	51.20081921310741
61.703	39.7344	51.20081921310741
61.804	39.7734	51.20081921310741
61.905	39.8438	51.20081921310741
62.007	39.8906	51.20081921310741
62.108	39.8672	51.20081921310741
62.209	39.8672	51.20081921310741
62.31	39.8906	51.20081921310741
62.411	39.9219	51.20081921310741
62.513	39.8906	51.20081921310741
62.614	39.9375	51.20081921310741
62.714	39.9922	51.20081921310741
62.816	40.0234	51.20081921310741
62.917	40.0078	51.20081921310741
63.019	40.0313	51.20081921310741
63.12	40.0938	51.20081921310741
63.22	40.1016	51.20081921310741
63.322	40.2344	51.20081921310741
63.423	40.1406	51.20081921310741
63.524	40.1484	51.20081921310741
63.626	40.2109	51.20081921310741
63.726	40.2734	51.20081921310741
63.828	40.3047	51.20081921310741
63.929	40.3906	51.20081921310741
64.03	40.3047	51.20081921310741
64.132	40.2969	51.20081921310741
64.232	40.3672	51.20081921310741
64.333	40.3438	51.20081921310741
64.435	40.3281	51.20081921310741
64.536	40.4375	51.20081921310741
64.636	40.3828	51.20081921310741
64.738	40.4766	51.20081921310741
64.839	40.4063	51.20081921310741
64.941	40.4375	51.20081921310741
65.042	40.4766	51.20081921310741
65.142	40.6719	51.20081921310741
65.244	40.6719	51.20081921310741
65.345	40.5469	51.20081921310741
65.446	40.5938	51.20081921310741
65.548	40.7109	51.20081921310741
65.648	40.75	51.20081921310741
65.75	40.7578	51.20081921310741
65.851	40.6953	51.20081921310741
65.952	40.7813	51.20081921310741
66.054	40.7813	51.20081921310741
66.154	40.7344	51.20081921310741
66.255	40.7109	51.20081921310741
66.357	40.7969	51.20081921310741
66.458	40.7734	51.20081921310741
66.559	40.8906	51.20081921310741
66.66	40.9375	51.20081921310741
66.761	40.9375	51.20081921310741
66.863	40.8984	51.20081921310741
66.964	40.9766	51.20081921310741
67.064	40.9609	51.20081921310741
67.166	41.0234	51.20081921310741
67.267	41.0	51.20081921310741
67.369	41.1016	51.20081921310741
67.47	41.0234	51.20081921310741
67.57	41.0313	51.20081921310741
67.672	41.1172	51.20081921310741
67.773	41.1406	51.20081921310741
67.874	41.1641	51.20081921310741
67.976	41.25	51.20081921310741
68.076	41.1641	51.20081921310741
68.177	41.25	51.20081921310741
68.279	41.2344	51.20081921310741
68.38	41.3125	51.20081921310741
68.481	41.2266	51.20081921310741
68.582	41.3203	51.20081921310741
68.683	41.2813	51.20081921310741
68.785	41.3906	51.20081921310741
68.886	41.4375	51.20081921310741
68.986	41.4531	51.20081921310741
69.088	41.4297	51.20081921310741
69.189	41.4531	51.20081921310741
69.291	41.4609	51.20081921310741
69.392	41.5078	51.20081921310741
69.492	41.5469	51.20081921310741
69.594	41.5703	51.20081921310741
69.695	41.5781	51.20081921310741
69.796	41.5703	51.20081921310741
69.898	41.5781	51.20081921310741
69.998	41.5938	51.20081921310741
70.1	41.6484	51.20081921310741
70.201	41.6875	51.20081921310741
70.302	41.6016	51.20081921310741
70.403	41.6406	51.20081921310741
70.504	41.6641	51.20081921310741
70.605	41.7969	51.20081921310741
70.707	41.7813	51.20081921310741
70.808	41.75	51.20081921310741
70.908	41.8281	51.20081921310741
71.01	41.8047	51.20081921310741
71.111	41.8203	51.20081921310741
71.213	41.8516	51.20081921310741
71.314	41.9141	51.20081921310741
71.414	41.9141	51.20081921310741
71.516	41.9375	51.20081921310741
71.617	41.9766	51.20081921310741
71.718	41.9766	51.20081921310741
71.82	42.0234	51.20081921310741
71.92	42.0	51.20081921310741
72.022	42.0078	51.20081921310741
72.123	42.0625	51.20081921310741
72.224	42.0625	51.20081921310741
72.325	42.0625	51.20081921310741
72.426	42.2031	51.20081921310741
72.527	42.2109	51.20081921310741
72.629	42.2109	51.20081921310741
72.73	42.2344	51.20081921310741
72.831	42.2969	51.20081921310741
72.932	42.2734	51.20081921310741
73.033	42.2656	51.20081921310741
73.135	42.25	51.20081921310741
73.236	42.3438	51.20081921310741
73.336	42.3984	51.20081921310741
73.438	42.3516	51.20081921310741
73.539	42.4219	51.20081921310741
73.641	42.3906	51.20081921310741
73.742	42.4766	51.20081921310741
73.842	42.375	51.20081921310741
73.944	42.5313	51.20081921310741
74.045	42.4844	51.20081921310741
74.146	42.4766	51.20081921310741
74.248	42.6172	51.20081921310741
74.348	42.5938	51.20081921310741
74.449	42.5703	51.20081921310741
74.551	42.6016	51.20081921310741
74.652	42.5938	51.20081921310741
74.753	42.6016	51.20081921310741
74.854	42.6563	51.20081921310741
74.955	42.6797	51.20081921310741
75.057	42.7031	51.20081921310741
75.158	42.7266	51.20081921310741
75.258	42.7734	51.20081921310741
75.36	42.7969	51.20081921310741
75.461	42.7734	51.20081921310741
75.563	42.7969	51.20081921310741
75.664	42.8047	51.20081921310741
75.764	42.8672	51.20081921310741
75.866	42.9375	51.20081921310741
75.967	42.9297	51.20081921310741
76.068	42.9375	51.20081921310741
76.17	43.0234	51.20081921310741
76.27	42.9609	51.20081921310741
76.372	42.9844	51.20081921310741
76.473	42.9844	51.20081921310741
76.574	43.0078	51.20081921310741
76.676	43.0234	51.20081921310741
76.776	43.1172	51.20081921310741
76.877	43.0859	51.20081921310741
76.979	43.1719	51.20081921310741
77.08	43.1328	51.20081921310741
77.182	43.2109	51.20081921310741
77.282	43.2813	51.20081921310741
77.383	43.3047	51.20081921310741
77.485	43.2813	51.20081921310741
77.586	43.3672	51.20081921310741
77.686	43.3281	51.20081921310741
77.788	43.3203	51.20081921310741
77.889	43.2813	51.20081921310741
77.99	43.3516	51.20081921310741
78.092	43.3516	51.20081921310741
